"id";"name";"reg_number";"start_date";"email";"phone";"website";"address";"type";"city";"lat";"lng";"is_active";"datetime";"hashed";"country_id";"municipality_id";"user_id"
1;"Seiara Irapiti Unip. Lda";"";"";"";"";"";"";"";"";"";"";1;"2023-03-17 12:55:11.545094";"c4ca4238a0b923820dcc509a6f75849b";1;1;1
2;"Libers Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-18 00:00:45.296145";"c81e728d9d4c2f636f067f89cc14862c";1;1;1
3;"Remexio Furak Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-18 00:00:56.876756";"eccbc87e4b5ce2fe28308fd9f2a7baf3";1;1;1
4;"Zenobia Diak Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-18 00:01:12.644308";"a87ff679a2f3e71d9181a67b7542122c";1;1;1
5;"Ambou Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-18 06:51:57.736703";"e4da3b7fbbce2345d7772b0674a318d5";1;1;1
6;"Anosel Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-18 07:02:02.521921";"1679091c5a880faf6fb5e6087eb1b2dc";1;1;1
7;"Bintang Fajar Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-18 07:17:11.635915";"8f14e45fceea167a5a36dedd4bea2543";1;1;1
8;"Cadoras Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-18 07:32:26.809838";"c9f0f895fb98ab9159f51fd0297e236d";1;1;1
9;"Bernabad Arquirectura SLP Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-18 07:36:25.880029";"45c48cce2e2d7fbdea1afc51c7c6ad26";1;1;1
10;"Ryzena Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-18 07:37:19.760066";"d3d9446802a44259755d38e6d163e820";1;1;1
11;"Clardel Interprise Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-18 07:42:58.957913";"6512bd43d9caa6e02c990b0a82652dca";1;1;1
12;"Betua Calda Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-18 07:47:21.853441";"c20ad4d76fe97759aa27a0c99bff6710";1;1;1
13;"Fikikay Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-18 07:50:21.792789";"c51ce410c124a10e0db5e4b97fc2af39";1;1;1
14;"Komi Ara Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-18 07:59:26.627694";"aab3238922bcc25a6f606eb525ffdc56";1;1;1
15;"Fin-Los Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-18 08:03:31.073599";"9bf31c7ff062936a96d3c8bd1f8f2ff3";1;1;1
16;"Mafra Consultant Tecnico e Engenaria Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-18 08:03:57.688957";"c74d97b01eae257e44aa9d5bade97baf";1;1;1
17;"Werenek Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-18 08:05:11.817366";"70efdf2ec9b086079795c442636b55fb";1;1;1
