"id";"number";"total";"end_date";"hashed";"contract_id"
1;"MPWTC-W-015016";248750.72;"2017-03-31";"c4ca4238a0b923820dcc509a6f75849b";1
2;"MPWTC-CD-170021";50310.22;"2022-12-31";"c81e728d9d4c2f636f067f89cc14862c";2
3;"MPWTC-CD-170004";40314.04;"2019-06-30";"eccbc87e4b5ce2fe28308fd9f2a7baf3";3
4;"MPWTC-CD-170003";15875.56;"2018-12-31";"a87ff679a2f3e71d9181a67b7542122c";4
5;"MPW-W-220149";61864.99;"2023-09-26";"e4da3b7fbbce2345d7772b0674a318d5";5
6;"MPW-W-220178";28080.66;"2023-10-21";"1679091c5a880faf6fb5e6087eb1b2dc";6
7;"MPW-W-220145";41712.18;"2023-09-26";"8f14e45fceea167a5a36dedd4bea2543";7
8;"MPW-W-220109";169650.59;"2022-12-31";"c9f0f895fb98ab9159f51fd0297e236d";8
9;"MPW-S-200024";475000.0;"2022-09-30";"45c48cce2e2d7fbdea1afc51c7c6ad26";9
10;"MPW-W-210060";196112.23;"2023-07-31";"d3d9446802a44259755d38e6d163e820";10
11;"MPW-W-220112";165298.25;"2022-10-30";"6512bd43d9caa6e02c990b0a82652dca";11
12;"MPW-W-210062";76554.69;"2022-07-31";"c20ad4d76fe97759aa27a0c99bff6710";12
14;"MPW-W-210065";34371.15;"2022-12-31";"aab3238922bcc25a6f606eb525ffdc56";14
16;"MPW-W-210080";271648.79;"2023-01-31";"c74d97b01eae257e44aa9d5bade97baf";16
17;"MPW-W-220084";44219.72;"2022-12-31";"70efdf2ec9b086079795c442636b55fb";17
18;"MPW-S-200027";341781.0;"2022-12-31";"6f4922f45568161a8cdf4ad2299f6d23";18
19;"MPW-W-210093";59011.32;"2022-08-31";"1f0e3dad99908345f7439f8ffabdffc4";19
20;"MPW-W-220156";537034.39;"2022-11-30";"98f13708210194c475687be6106a3b84";20
21;"MPW-S-200034";399974.64;"2022-09-30";"3c59dc048e8850243be8079a5c74d079";21
22;"MPW-W-220076";200217.04;"2022-12-31";"b6d767d2f8ed5d21a44b0e5886680cb9";22
24;"MPW-S-200026";396311.35;"2022-06-30";"1ff1de774005f8da13f42943881c655f";24
25;"MPW-W-210092";46754.63;"2022-08-31";"8e296a067a37563370ded05f5a3bf3ec";25
26;"MPW-W-210091";52112.72;"2023-02-28";"4e732ced3463d06de0ca9a15b6153677";26
27;"MPW-W-210096";27105.0;"2022-08-31";"02e74f10e0327ad868d138f2b4fdd6f0";27
28;"MPW-W-220069";391213.13;"0023-02-28";"33e75ff09dd601bbe69f351039152189";28
29;"MPW-W-210099";337115.79;"2022-08-31";"6ea9ab1baa0efb9e19094440c317e21b";29
30;"MPW-W-210147";339829.64;"2022-10-31";"34173cb38f07f89ddbebc2ac9128303f";30
31;"MPW-CS-200023";422400.0;"2022-06-30";"c16a5320fa475530d9583c34fd356ef5";31
32;"MPW-W-220042";3400.0;"2022-08-09";"6364d3f0f495b6ab9dcf8d3b5c6e0b01";32
33;"MPW-W-220070";728395.5;"2023-02-28";"182be0c5cdcd5072bb1864cdee4d3d6e";33
34;"MPW-GS-220137";18949.0;"2022-10-31";"e369853df766fa44e1ed0ff613f563bd";34
35;"MPW-GS-220161";7100.0;"2022-11-30";"1c383cd30b7c298ab50293adfecb7b18";35
36;"MPW-CS-200033";523300.0;"2022-06-30";"19ca14e7ea6328a42e0eb13d585e4c22";36
37;"MPW-GS-220162";339929.63;"2023-04-30";"a5bfc9e07964f8dddeb95fc584cd965d";37
38;"MOP-GS-210121";4500.0;"2021-12-31";"a5771bce93e200c36f7cd9dfd0e5deaa";38
39;"MPW-GS-210072";4675.0;"2021-12-31";"d67d8ab4f4c10bf22aa353e27879133c";39
40;"MPW-CS-200025";475000.0;"2022-06-30";"d645920e395fedad7bbbed0eca3fe2e0";40
41;"MPW-GS-220072";732.0;"2022-09-30";"3416a75f4cea9109507cacd8e2f2aefc";41
42;"MPW-CS-200028";798900.0;"2022-06-30";"a1d0c6e83f027327d8461063f4ac58a6";42
43;"MPW-GS-220052";450.0;"2022-08-17";"17e62166fc8586dfa4d1bc0e1742c08b";43
44;"MPW-GS-210127";200.0;"2021-12-31";"f7177163c833dff4b38fc8d2872f1ec6";44
45;"MOP-GS-210187";14895.0;"2022-10-31";"6c8349cc7260ae62e3b1396831a8398f";45
46;"MPW-S-220058";53740.0;"2022-09-30";"d9d4f495e875a2e075a1a4a6e1b9770f";46
