"id";"total";"year";"contract_id"
1;248750.72;2015;1
2;50310.22;2017;2
3;40314.04;2017;3
4;15875.56;2017;4
5;111275.07;2017;139
6;49988.12;2017;140
7;556717.81;2019;123
8;393649.77;2019;124
9;297407.48;2019;125
10;491752.56;2019;126
11;481029.67;2019;127
12;271215.62;2019;141
13;281829.64;2019;143
14;255148.17;2019;145
15;367022.68;2019;146
16;375995.84;2019;149
17;494544.48;2019;142
18;150012.65;2019;144
19;59446.75;2019;147
20;223843.79;2019;148
21;60335.99;2019;150
22;137495.42;2019;151
23;300403.42;2019;152
24;61864.99;2022;5
25;28080.66;2022;6
26;41712.18;2022;7
27;131037.22;2022;60
28;138846.96;2022;62
29;87202.22;2022;64
30;339225.09;2022;66
31;481699.96;2022;68
32;63851.72;2022;69
33;105927.77;2022;71
34;65446.12;2022;72
35;72116.54;2022;74
36;95535.88;2022;75
37;382769.27;2022;77
38;65130.15;2022;78
39;762576.94;2022;79
40;344788.12;2022;80
41;778076.9;2022;81
42;154858.87;2022;82
43;416498.6;2022;83
44;45935.36;2022;84
45;38693.39;2022;85
46;41821.35;2022;86
47;69081.09;2022;87
48;386730.13;2022;88
49;342566.56;2022;89
50;215409.28;2022;105
51;23993.19;2022;100
52;99022.48;2022;101
53;169650.59;2022;8
54;165298.25;2022;11
56;371753.82;2022;103
57;39986.96;2022;106
58;44219.72;2022;17
59;666091.08;2022;107
60;537034.39;2022;20
62;305745.0;2022;109
63;200217.04;2022;22
64;346792.33;2022;110
66;195000.01;2022;111
67;406138.99;2022;112
68;391213.13;2022;28
69;728395.5;2022;33
70;171674.25;2022;113
71;196112.23;2021;10
72;76554.69;2021;12
73;34371.15;2021;14
75;271648.79;2021;16
76;59011.32;2021;19
77;46754.63;2021;25
78;52112.72;2021;26
79;27105.0;2021;27
80;337115.79;2021;29
81;339829.64;2021;30
82;18949.0;2022;34
83;7100.0;2022;35
84;339929.63;2022;37
85;450.0;2022;43
86;732.0;2022;41
87;53740.0;2022;46
88;39600.0;2022;47
89;5893.3;2022;48
