"id";"name"
1;"Basic Road Construction"
2;"Building Constraction"
3;"Electricity"
4;"Construction Supervision"
5;"Consultant Supervision"
6;"Consulting services"
7;"Rehabilitation"
8;"Maintenance"
9;"Installation"
10;"Water and Sanitation"
11;"Ecotourism"
12;"Fishing Port"
13;"Flood Control"
14;"Spatial Planning"
15;"Fisibility Study"
16;"Small Bridge"
17;"Flood Control"
18;"Operation and Maintenance"
19;"Irrigation"
20;"DED"
21;"Routine Maintenance"
22;"Security System Project"
23;"New Construction"
24;"Pre-Fisibility Study"
25;"Road Rehabilitation"
26;"Equipamento Informatico"
27;"Jardim"
28;"Public Facility"
29;"Residence"
30;"Supply"
31;"Advertisement "
32;"Advertisement & Publicity "
33;"Bridges"
34;"Buildings"
35;"Catering Services"
36;"Cleaning & Sanitation Services"
37;"Conservation"
38;"Data Communications"
39;"Electrical Equipment"
40;"Fixed Communications"
41;"Infrastructures "
42;"International Transports"
43;"Lite Vehicle Maintenance"
44;"Maintenance AC"
45;"Medium and Long Term Real"
46;"Estate Rentals"
47;"Miscellaneous Maintenance"
48;"Service"
49;"Mobile Communications"
50;"Motorcycle Maintenance"
51;"Office Buildings"
52;"Office Stationary & Supplies"
53;"Other Buildings"
54;"Other Contributions"
55;"Other Equipment"
56;"Other Movable Items"
57;"Other Office Equipment"
58;"Other Operational Expenses"
59;"Other Public Goods"
60;"Other Services"
61;"Other Supplies"
62;"Rental Office Equipment"
63;"Roads Maintenance"
64;"Security Services"
65;"Seminars & Workshops"
66;"Short Term Real Estate Rentals"
67;"Staff Training Local"
68;"Staff Training Overseas"
69;"Studies, Expert Recommendations"
70;"Projects and Consultancy"
71;"Subscriptions"
72;"Telephone Fax Internet"
73;"Uniforms"
74;"Vehicle Operation Fuel - Diesel"
75;"Vehicle Operation Fuel â€“ Petrol"
76;"Vehicles Rentals"
77;"Service"
78;"Office Supply (ATK)"
79;"Building"
80;"Office Building"
81;"Emerjensia"
82;"Publikasaun"
83;"Provision"
84;"Supply & Instalasaun"
85;"River Normalization"
86;"Cleaning Up"
87;"Gabion Protection"
88;"Construção Moru Proteção"
89;"Normalizasaun Estrada"
90;"Spurs or Groynes & Retaining Wall"
91;"Manutenção Estrada"
92;"River Training"
93;"Roads Normalization"
94;"Construction of Box Culve"
95;"Check Dam"
96;"Flood Control"
97;"Roards and Bridges Construction"
98;"Box Culvert"
99;"Construction and Installation"
