"id";"name";"administrativepost_id"
1;"Aissirimou";1
2;"Bandudato";1
3;"Lequitura";1
4;"Fahiria";1
5;"Fatubosa";1
6;"Hoholau";1
7;"Lahae";1
8;"Lausi";1
9;"Saboria";1
10;"Seloi Craic";1
11;"Seloi Malere";1
12;"Suco Liurai";1
13;"Cotolau";2
14;"Fatisi";2
15;"Madabeno";2
16;"Talitu";2
17;"Tohumeta";2
18;"Bocolelo";2
19;"Acubilitoho";3
20;"Bereleu";3
21;"Betulau";3
22;"Faturilau";3
23;"Fahisoi";3
24;"Manucassa";3
25;"Namoleso";3
26;"Acumau";4
27;"Fadabloco";4
28;"Fahisoi";4
29;"Maumeta";4
30;"Tulataqueo";4
31;"Liurai";4
32;"Faturaca";4
33;"Hautoho";4
34;"Ainaro";5
35;"Manutaci";5
36;"Soro";5
37;"Suro-Craic";5
38;"Mau-Ulo";5
39;"Cassa";5
40;"Mau-Nuno";5
41;"Mulo";6
42;"Nuno-Mogue";6
43;"Mauchiga";6
44;"Maulau";7
45;"Suco Liurai";7
46;"Maubisse";7
47;"Fatubessi";7
48;"Edi";7
49;"Manelobas";7
50;"Manetu";7
51;"Aituto";7
52;"Horai Quic";7
53;"Leolima";8
54;"Foho Ailico";8
55;"Alaua Leten";9
56;"Alaua Kraik";9
57;"Defawasse";9
58;"Lavateri";9
59;"Osso-Huna";9
60;"Uacala";9
61;"Afaloicai";9
62;"Haeconi";9
63;"Larisula";9
64;"Samalari";9
65;"Bahu";10
66;"Buibau";10
67;"Buruma";10
68;"Bucoli";10
69;"Caibada";10
70;"Gariuai";10
71;"Samalari";10
72;"Seical";10
73;"Tirilolo";10
74;"Triloca";10
75;"Uailili";10
76;"Atelari";11
77;"Libagua";11
78;"Nunira";11
79;"Samalari";11
80;"Saelari";11
81;"Sagadate";11
82;"Soba";11
83;"Tequinomata";11
84;"Abo";12
85;"Abafala";12
86;"Afaca";12
87;"Baguia";12
88;"Bualale";12
89;"Guruca";12
90;"Lacoliu";12
91;"Laisorulai de Baixo";12
92;"Laisorulai de Cima";12
93;"Lelalai";12
94;"Letemumo";12
95;"Macalaco";12
96;"Maluro";12
97;"Namanei";12
98;"Uaitame";12
99;"Caicua";13
100;"Loilubo";13
101;"Ossouala";13
102;"Ostico";13
103;"Uai-Ga'e";13
104;"Uatulari";13
105;"Vemasse";13
106;"Bado-Ho'o";14
107;"Baha-Mori";14
108;"Fatulia";14
109;"Uai-Oli";14
110;"Uai-Laha";14
111;"Uato-Haco";14
112;"Uma-Ana-Ico";14
113;"Uma-Ana-Ulo";14
114;"Atabae";15
115;"Hataz";15
116;"Raerobo";15
117;"Aidabaleten";15
118;"Colimau";16
119;"Soilesu";16
120;"Tapo";16
121;"Carabau";16
122;"Cotabot";16
123;"Ilat Laun";16
124;"Aiasa";16
125;"Bobonaro";16
126;"Atuben";16
127;"Leber";16
128;"Lour";16
129;"Lourba";16
130;"Maleubu";16
131;"Malilait";16
132;"Molop";16
133;"Sibuni";16
134;"Tebabui";16
135;"Oeleo";16
136;"Lahomea";17
137;"Raifun";17
138;"Ritabou";17
139;"Odomau";17
140;"Holsa";17
141;"Tapo Memo";17
142;"Saburai";17
143;"Raiheu";18
144;"Meligo";18
145;"Daudo";18
146;"Goulolo";18
147;"Atudara";18
148;"Guenulai";18
149;"Purugoa";18
150;"Manapa";18
151;"Gildapil";19
152;"Lebos";19
153;"Lontas";19
154;"Deudet";19
155;"Guda";19
156;"Opa";19
157;"Lupal";19
158;"Sanirin";20
159;"Leolima";20
160;"Batugade";20
161;"Cowa";20
162;"Balibo Vila";20
163;"Leohitu";20
164;"Camenaca";21
165;"Suai Loro";21
166;"Labarai";21
167;"Beco";21
168;"Debos";21
169;"Raimea";22
170;"Fatuleto";22
171;"Mape";22
172;"Tashilin";22
173;"Lour";22
174;"Zulo";22
175;"Usecai";22
