"id";"name";"village_id"
1;"Hudi  laran ";1
2;"Aitohu laran";1
3;"Berekati";1
4;"Ercoatun";1
5;"Bessilau";1
6;"Raelete";2
7;"Dailor";2
8;"Taiblor ";2
9;"Erluli";3
10;"Riheun";3
11;"Lequitura ";3
12;"Rairema";3
13;"Sidole";4
14;"Fahiria";4
15;"Manulete";4
16;"Fatu Buti";4
17;"Daulala";4
18;"Sarin";4
19;"Fatubosa";5
20;"Liclaukana";5
21;"Hoholete";5
22;"Coulau";5
23;"Caicasa";5
24;"Erhetu ";5
25;"Manubata";6
26;"Mau uluria";6
27;"Saharia";6
28;"Aslimhati";6
29;"Hatulai";6
30;"Lahae";7
31;"Denhuni";7
32;"Eralolo";7
33;"Lacasori";7
34;"Riatelo";7
35;"Lausi";8
36;"Riafusun";8
37;"Erbuti";8
38;"Bermanuleu";9
39;"Lerulete";9
40;"Saboria";9
41;"Casamou";10
42;"Lio";10
43;"Leobraudu";10
44;"Colihoho";10
45;"Tabulasi";10
46;"Faularan";10
47;"Raicoalefa";10
48;"Halalmeta";10
49;"Talifurleu";10
50;"Fatumane ";10
51;"Cotbauru";11
52;"Hularema";11
53;"Maurusa";11
54;"Taratihi";11
55;"Malere";11
56;"Kabasfatin";11
57;"Banderahun";12
58;"Coulaudo";12
59;"Fatulmau ";12
60;"Fatubessi";12
61;"Laclo";12
62;"Quirilelo ";12
63;"Raimansu ";12
64;"Rairema ";12
65;"Cotolau";13
66;"Ornai";13
67;"Binona";13
68;"Ramerlau";13
69;"Lebucucu";13
70;"Umanlau";14
71;"Maubouc";14
72;"Banro";14
73;"Manehalo";15
74;"Lismori";15
75;"Manufoni";15
76;"Desmanhata";15
77;"Remapati";15
78;"Belumhatu";15
79;"Talitu";16
80;"Quelae";16
81;"Casmantutu";16
82;"Fatuc-hun";16
83;"Tohumeta";17
84;"Berlihu-Meta";17
85;"Acadiro";17
86;"Kuncin";18
87;"Mauberhatan";18
88;"Emerqui";18
89;"Donfonamo";18
90;"Acumata";19
91;"Biiloco";19
92;"Hautoho";19
93;"Bereleu";20
94;"Lebumetan";20
95;"Lebutu";20
96;"Riamori";20
97;"Tataresi";20
98;"Lebutun";21
99;"Naumata";21
100;"Sarabere";21
101;"Cairema";22
102;"Lebumeran";22
103;"Dailorluta";23
104;"Locotoi";23
105;"Tatilisame";23
106;"Manutai";24
107;"Fatumerin";24
108;"Aitoin";25
109;"Lacabou";25
110;"Maucurunamo";25
111;"Serema";25
112;"Lerolica";26
113;"Aimerahun";26
114;"Fatumanro";26
115;"Lilitei";27
116;"Raifatu";27
117;"Lequisa";27
118;"Rileu";27
119;"Mautoba ";28
120;"Deruti";28
121;"Bereliurai";28
122;"Tuqueu";29
123;"Aibana";29
124;"Aitoi";29
125;"Samalete";30
126;"Roluli";30
127;"Aicurus";30
128;"Decilelo";30
129;"Manutane ";31
130;"Laraluha";31
131;"Cotomori";31
132;"Faculau";32
133;"Caitaso";32
134;"Raemerhei";32
135;"Berelico";32
136;"Lebutu";33
137;"Aibutihun";33
138;"Lebutu Ramerhei";33
139;"Teliga ";34
140;"Nugufu  ";34
141;"Sebagulau";34
142;"Lugatu";34
143;"Builico";34
144;"Ainaro ";34
145;"Hato-Mera";34
146;"Hato-meta-udo";35
147;"Bau-hati-lau";35
148;"Rae-buti-udo";35
149;"Canudo";35
150;"Poe-Lau";36
151;"Guer-udo";36
152;"Leo-Lala";36
153;"Terlora";36
154;"Ailau";37
155;"Bazar";37
156;"No-Ulu";37
157;"Ria-mori";37
158;"Dagamessa";38
159;"Mau-Ulo-Pu";38
160;"Mau-Ulo-Lau";38
161;"Hato-Lau";38
162;"Hato-Lelo";38
163;"Boltama";39
164;"Queca-Mau";39
165;"Civil";39
166;"Lailima";39
167;"Mau-Suca Bemoris";39
168;"Mau-Suca";40
169;"Mama-Lau";40
170;"Aileu";40
171;"Mulo";41
172;"Hautio";41
173;"Tatiri";41
174;"Aituto";41
175;"Mano-mera";41
176;"Maulahulo";41
177;"Bleheto";41
178;"Queorudo";41
179;"Hato-Builico";42
180;"Mausoromata";42
181;"Laqueco";42
182;"Qeorema";42
183;"Tucaro";42
184;"Lebu-Lau";42
185;"Nuno-Mogue";42
186;"Hato-Seraquei";42
187;"Goulora";43
188;"Leotelo I";43
189;"Leotelo II";43
190;"Hato-Quero";43
191;"Mauchiga";43
192;"Maleria";44
193;"Rita";44
194;"Ussululi";44
195;"Hahi-Mau";44
196;"Aihosan";44
197;"Tara-Bula";44
198;"Hato-Lete";44
199;"Laca-Mali-Cau";44
200;"Lumo-Luli";44
201;"Hato-Cade";44
202;"Mau-Mude";45
203;"Bere-Tai";45
204;"Erbean";45
205;"Hoho-Naro";45
206;"Hato-Fae";46
207;"Liqui-Tei";46
208;"Vila";46
209;"Teli-Tuco";46
210;"Hato-Luli";46
211;"Ria-Mori";46
212;"Ura-Hou";46
213;"Sarilala";46
214;"Hautado";46
215;"Ria-Leco";46
216;"Goulala";46
217;"Cano-Rema";46
218;"Hohulo";47
219;"Cassimidei";47
220;"Caitara";47
221;"Rae-Buti-lau";47
222;"Titibauria";47
223;"Tutu-Fili";47
224;"Demutete";48
225;"Hebau";48
226;"Lobibo";48
227;"Rai-Mera";48
228;"Talale";48
229;"Tali-Felo";48
230;"Hautei";49
231;"Ernaro";49
232;"Hautilo";49
233;"Cotomata";49
234;"Boro-Ulo";50
235;"Dau-Lelo";50
236;"Hahi-Tali";50
237;"Lebo-Luli";50
238;"Mau-Lai";50
239;"Quiri-Coli";50
240;"Russulau";50
241;"Aihou";51
242;"Airaca-Lau";51
243;"Betulala";51
244;"Goulolo";51
245;"Hato-Buti";51
246;"Lebututo";51
247;"Lientuto";51
248;"Mau-Lefo";51
249;"Russulau";51
250;"Cartolo";52
251;"Gourema";52
252;"Hatussao";52
253;"Lau-Heli";52
254;"Luro";53
255;"Groto";53
256;"Suro-Craic";53
257;"Aimerleu";53
258;"Dausur";53
259;"HutSeo";53
260;"Nuno-Boco";53
261;"Goulau";53
262;"Lesse";53
263;"Rae-Soro";53
264;"Ailora";54
265;"Ainaro-QUiC";54
266;"Baha";54
267;"Lebo-mera";54
268;"Lesso";54
269;"Raimerlau";54
270;"Ae Afa";55
271;"Alaua";55
272;"Bibilalari";55
273;"Maurubi-Assa";55
274;"Selibere";55
275;"Afaguia";56
276;"Alaua";56
277;"Neo-Olidae";56
278;"Sorucama";56
279;"Ua-Sufa";56
280;"Defawasi";57
281;"Lari-Bere";57
282;"Sae-Meta";57
283;"Uarou";57
284;"Fanalolo";58
285;"Ledana";58
286;"Onortibalari";58
287;"Osso Isi Lari";58
288;"Uabubo";58
289;"Betulari";59
290;"Uaicade";59
291;"Uaibuitai";59
292;"Baboro";60
293;"Baiafa";60
294;"Betu-Muto";60
295;"Buibela";61
296;"Lena";61
297;"Oqui-Lari";61
298;"Uai-Mata";61
299;"Afalari";62
300;"Bahatata";62
301;"Basarauai";62
302;"Lari Gua";62
303;"Lari Sula";62
304;"Uaiboro";62
305;"Baiana";63
306;"Bibidae";63
307;"Bubu-Ha";63
308;"Lauhare";63
309;"Tirifalo";63
310;"Uata Tefo";63
311;"Uro";63
312;"Daraloi Leten";64
313;"Daraloi Craik";64
314;"Ira osso";64
315;"Taubere";64
316;"Ana -Ulo";65
317;"Bui-Le";65
318;"Lamegua";65
319;"Macadai";65
320;"Ro-Ulo";65
321;"Alala";66
322;"Buibau";66
323;"Builai";66
324;"Loidua";66
325;"Manulai";66
326;"Samalaculiba";66
327;"Casmuto";67
328;"Ono-Sere";67
329;"Suli-Ua";67
330;"Taci";67
331;"Aubaca";68
332;"Lequi  Loi Uato";68
333;"Luliheni";68
334;"Macadai de Baixo";68
335;"Macadai de Cima";68
336;"Uaisemo";68
337;"Ana-Uaro";69
338;"Boru-Baha";69
339;"Caiobilsle";69
340;"Data-Ua";69
341;"Haurobu";69
342;"Maulame";69
343;"Uani-Uma";69
344;"Bahamori";70
345;"Cairiri";70
346;"Darasula";70
347;"Gariuai";70
348;"Maucale";70
349;"Uaibehana";70
350;"Uatu-ua";70
351;"Uaturau";70
352;"Festau";71
353;"Ossoluga";71
354;"Samalari";71
355;"Sorulai";71
356;"Ague";72
