"id";"code";"name";"dg_id"
1;"DNAG";"Direcção Nacional de Administracao e Gestao do Patrimonio";1
2;"DNRH";"Direcção Nacional de Recursos Humanos";1
3;"DNOF";"Direcção Nacional de Orçamento e Finanças";1
4;"DNA";"Direcção Nacional de Aprovisionamento";1
5;"DNPMA";"Direção Nacional de Planeamento, Monitorização e Avaliação";2
6;"DNTI";"Direção Nacional de Tecnologia de Informação";2
7;"DNCVR";"Direção Nacional de Construção de Vias Rodoviárias";3
8;"DNMCVR";"Direção Nacional de Manutenção e Conservação de Vias Rodoviárias";3
9;"DNPIPD";"Direção Nacional de Planeamento, Inspecção, Pesquisa e Desenvolvimento";3
10;"DNPCC";"Direção Nacional de Prevenção e Controlo de Cheias";3
11;"DNH";"Direção Nacional de Habitação";4
12;"DNU";"Direção Nacional de Urbanismo";4
13;"DNE";"Direção Nacional de Edificações";4
14;"GMOP";"Gabinete Ministro";5
15;"GVMOP";"Gabinete Vice Ministro";5
16;"GDGA";"Gabinete DGA";5
17;"GDGPOFA";"Gabinete DGPOFA";5
18;"GDGEPPCC";"Gabinete DGEPPCC";5
19;"GDGHU";"Gabinete DGHU";5
20;"Gabia";"Gabinete de Inspecao e Auditoria (GIA)";5
21;"UVIP";"UVIP";5
