"id";"start_lat";"start_lng";"end_lat";"end_lng";"administrativepost_id";"aldeia_id";"municipality_id";"project_id";"village_id"
1;"";"";"";"";0;0;9;1;0
2;"125.5713638";"-8.725989531";"";"";0;0;1;2;0
3;"";"";"";"";0;0;1;3;0
4;"";"";"";"";0;0;1;4;0
5;"";"";"";"";0;0;5;5;0
6;"";"";"";"";0;0;9;6;0
7;"";"";"";"";0;0;3;7;0
8;"";"";"";"";0;0;5;8;0
9;"";"";"";"";0;0;5;9;0
10;"";"";"";"";0;0;1;10;0
11;"";"";"";"";0;0;5;11;0
12;"";"";"";"";0;0;5;12;0
13;"";"";"";"";0;0;1;13;0
14;"";"";"";"";0;0;3;14;0
15;"";"";"";"";0;0;5;15;0
16;"";"";"";"";0;0;11;16;0
17;"";"";"";"";0;0;9;17;0
18;"";"";"";"";0;0;2;18;0
19;"";"";"";"";0;0;5;19;0
20;"";"";"";"";0;0;3;20;0
21;"";"";"";"";0;0;9;21;0
22;"";"";"";"";0;0;9;22;0
23;"";"";"";"";0;0;9;23;0
24;"";"";"";"";0;0;5;24;0
25;"";"";"";"";0;0;4;25;0
26;"";"";"";"";0;0;5;26;0
27;"";"";"";"";1;8;1;27;2
28;"";"";"";"";0;0;6;28;0
29;"";"";"";"";29;0;6;29;200
30;"";"";"";"";0;0;6;30;0
31;"";"";"";"";0;0;6;31;0
32;"";"";"";"";0;0;6;32;0
33;"";"";"";"";0;0;6;33;0
34;"";"";"";"";0;0;1;34;0
35;"";"";"";"";0;0;6;35;0
36;"";"";"";"";0;0;6;36;0
37;"";"";"";"";0;0;6;37;0
38;"";"";"";"";0;0;6;38;0
39;"";"";"";"";0;0;6;39;0
40;"";"";"";"";29;0;6;40;200
42;"";"";"";"";33;0;6;42;225
43;"";"";"";"";0;0;7;43;0
44;"";"";"";"";0;0;6;44;0
45;"";"";"";"";29;0;6;45;200
46;"";"";"";"";15;0;4;46;0
47;"";"";"";"";0;0;6;47;0
49;"";"";"";"";0;0;6;49;0
50;"";"";"";"";0;0;10;50;0
51;"";"";"";"";0;0;2;51;0
52;"";"";"";"";0;0;2;52;0
53;"";"";"";"";0;0;12;53;0
54;"";"";"";"";0;0;8;54;0
55;"";"";"";"";0;0;11;55;0
56;"";"";"";"";0;0;11;56;0
57;"";"";"";"";0;0;11;57;0
58;"";"";"";"";0;0;11;58;0
59;"";"";"";"";0;0;11;59;0
60;"";"";"";"";0;0;1;60;0
61;"";"";"";"";0;0;6;61;0
62;"";"";"";"";0;0;0;62;0
63;"";"";"";"";0;0;0;63;0
64;"";"";"";"";0;0;0;64;0
66;"";"";"";"";0;0;0;66;0
67;"";"";"";"";0;0;0;67;0
70;"";"";"";"";0;0;0;70;0
71;"";"";"";"";0;0;0;71;0
74;"";"";"";"";0;0;1;74;0
75;"-8.85663265";"125.5359149";"";"";0;0;2;75;0
76;"";"";"";"";0;0;9;76;0
77;"";"";"";"";0;0;10;77;0
78;"";"";"";"";0;0;1;78;0
79;"";"";"";"";0;0;6;79;0
80;"";"";"";"";0;0;6;80;0
81;"";"";"";"";0;0;6;81;0
82;"";"";"";"";0;0;10;82;0
83;"";"";"";"";0;0;0;83;0
